SurfaceName,PieceId,X,Y,Z
Gravel Surface 1,0,1113.1548,736.5278,13.8400
Gravel Surface 1,0,1119.5906,741.6214,14.5597
Gravel Surface 1,0,1112.0503,737.9395,13.3286
Gravel Surface 1,0,1111.0700,741.5305,12.4995
Gravel Surface 1,0,1111.0383,739.2330,12.8600
Gravel Surface 1,0,1110.0480,739.3827,12.7683
Gravel Surface 1,0,1110.2342,739.1627,12.8158
Gravel Surface 1,0,1109.3498,737.9153,12.9519
Gravel Surface 1,0,1110.0220,738.4399,12.9153
Gravel Surface 1,0,1109.7655,738.7890,12.8426
Gravel Surface 1,0,1108.6619,737.9091,12.8560
Gravel Surface 1,0,1108.6769,737.3902,12.9886
Gravel Surface 1,0,1108.1406,737.4935,12.8866
Gravel Surface 1,0,1104.7556,734.7946,12.8712
Gravel Surface 1,0,1107.9298,736.8072,12.9828
Gravel Surface 1,0,1104.4494,734.0912,12.9559
Gravel Surface 1,0,1103.4654,733.7659,12.8856
Gravel Surface 1,0,1102.6436,732.6819,13.0157
Gravel Surface 1,0,1101.1197,731.8957,12.9725
Gravel Surface 1,0,1109.3178,740.2453,12.4993
Gravel Surface 1,0,1108.0141,741.8258,12.2895
Gravel Surface 1,0,1106.8051,744.7194,12.0000
Gravel Surface 1,0,1107.0669,743.1559,12.1324
Gravel Surface 1,0,1111.5046,748.6076,12.0000
Gravel Surface 1,0,1113.2842,744.6656,12.4999
Gravel Surface 1,0,1113.5862,745.0933,12.5000
Gravel Surface 1,0,1119.8918,741.8598,14.5934
Gravel Surface 1,0,1121.3822,743.0393,14.7600
Gravel Surface 1,0,1117.3008,753.4031,12.0000
Gravel Surface 1,0,1129.1724,755.7711,11.3041
Gravel Surface 1,0,1128.4556,756.6656,11.2933
Gravel Surface 1,0,1128.2031,756.9808,11.2896
Gravel Surface 1,0,1128.1388,757.0609,11.2886
Gravel Surface 1,0,1127.2137,758.2153,11.2747
Gravel Surface 1,0,1127.1080,758.3472,11.2731
Gravel Surface 1,0,1126.4922,758.9281,11.2733
Gravel Surface 1,0,1124.2393,760.6457,11.2950
Gravel Surface 1,0,1124.3280,760.6001,11.2930
Gravel Surface 1,0,1125.3876,759.9287,11.2759
Gravel Surface 1,0,1123.2226,761.1292,11.3250
Gravel Surface 1,0,1120.2996,761.9668,11.4375
Gravel Surface 1,0,1118.2560,762.0996,11.5377
Gravel Surface 1,0,1116.8991,762.0175,11.6122
Gravel Surface 1,0,1117.8020,762.0996,11.5613
Gravel Surface 1,0,1115.2155,761.7321,11.5642
Gravel Surface 1,0,1113.6904,761.1877,11.5331
Gravel Surface 1,0,1112.1248,760.3237,11.6104
Gravel Surface 1,0,1113.4307,761.0950,11.5443
Gravel Surface 1,0,1111.0514,759.6898,11.6646
Gravel Surface 1,0,1106.4556,746.8063,11.9304
Gravel Surface 1,0,1107.6213,756.0718,11.6874
Gravel Surface 1,0,1106.3582,751.8729,11.7798
Gravel Surface 1,0,1106.2230,750.2097,11.8252
Gravel Surface 1,0,1106.7987,753.8889,11.7314
Gravel Surface 1,0,1109.4890,758.3659,11.6655
Gravel Surface 1,0,1108.6091,757.3765,11.6732
Gravel Surface 1,0,1110.8032,759.5432,11.6629
Gravel Surface 1,0,1116.4077,761.9728,11.5965
Gravel Surface 1,0,1119.5495,762.0996,11.4703
Gravel Surface 1,0,1121.5146,761.7517,11.3844
Gravel Surface 1,0,1123.4870,761.0328,11.3158
Gravel Surface 1,0,1127.0408,758.4311,11.2721
Gravel Surface 1,0,1130.2587,754.4156,11.6623
Gravel Surface 1,0,1132.9337,751.0514,11.7009
Gravel Surface 1,0,1132.1029,752.1143,11.6863
Gravel Surface 1,0,1133.5975,750.2021,11.7019
Gravel Surface 1,0,1126.1738,736.9925,14.7566
Gravel Surface 1,0,1136.2473,746.8121,11.7482
Gravel Surface 1,0,1137.0024,745.8460,11.7614
Gravel Surface 1,0,1138.9085,743.4376,11.7905
Gravel Surface 1,0,1139.7799,742.3365,11.7901
