SurfaceName,PieceId,X,Y,Z
Gravel Surface 1,0,1137.3951,743.5903,13.8400
Gravel Surface 1,0,1143.8309,748.6839,14.5597
Gravel Surface 1,0,1136.2906,745.0020,13.3286
Gravel Surface 1,0,1135.3103,748.5930,12.4995
Gravel Surface 1,0,1135.2786,746.2955,12.8600
Gravel Surface 1,0,1134.2883,746.4452,12.7683
Gravel Surface 1,0,1134.4745,746.2252,12.8158
Gravel Surface 1,0,1133.5901,744.9778,12.9519
Gravel Surface 1,0,1134.2623,745.5024,12.9153
Gravel Surface 1,0,1134.0058,745.8515,12.8426
Gravel Surface 1,0,1132.9022,744.9716,12.8560
Gravel Surface 1,0,1132.9172,744.4527,12.9886
Gravel Surface 1,0,1132.3809,744.5560,12.8866
Gravel Surface 1,0,1128.9959,741.8571,12.8712
Gravel Surface 1,0,1132.1701,743.8697,12.9828
Gravel Surface 1,0,1128.6897,741.1537,12.9559
Gravel Surface 1,0,1127.7057,740.8284,12.8856
Gravel Surface 1,0,1126.8839,739.7444,13.0157
Gravel Surface 1,0,1125.3600,738.9582,12.9725
Gravel Surface 1,0,1133.5581,747.3078,12.4993
Gravel Surface 1,0,1132.2544,748.8883,12.2895
Gravel Surface 1,0,1131.0454,751.7819,12.0000
Gravel Surface 1,0,1131.3072,750.2184,12.1324
Gravel Surface 1,0,1135.7449,755.6701,12.0000
Gravel Surface 1,0,1137.5245,751.7281,12.4999
Gravel Surface 1,0,1137.8265,752.1558,12.5000
Gravel Surface 1,0,1144.1321,748.9223,14.5934
Gravel Surface 1,0,1145.6225,750.1018,14.7600
Gravel Surface 1,0,1141.5411,760.4656,12.0000
Gravel Surface 1,0,1153.4127,762.8336,11.3041
Gravel Surface 1,0,1152.6959,763.7281,11.2933
Gravel Surface 1,0,1152.4434,764.0433,11.2896
Gravel Surface 1,0,1152.3791,764.1234,11.2886
Gravel Surface 1,0,1151.4540,765.2778,11.2747
Gravel Surface 1,0,1151.3483,765.4097,11.2731
Gravel Surface 1,0,1150.7325,765.9906,11.2733
Gravel Surface 1,0,1148.4796,767.7082,11.2950
Gravel Surface 1,0,1148.5683,767.6626,11.2930
Gravel Surface 1,0,1149.6279,766.9912,11.2759
Gravel Surface 1,0,1147.4629,768.1917,11.3250
Gravel Surface 1,0,1144.5399,769.0293,11.4375
Gravel Surface 1,0,1142.4963,769.1621,11.5377
Gravel Surface 1,0,1141.1394,769.0800,11.6122
Gravel Surface 1,0,1142.0423,769.1621,11.5613
Gravel Surface 1,0,1139.4558,768.7946,11.5642
Gravel Surface 1,0,1137.9307,768.2502,11.5331
Gravel Surface 1,0,1136.3651,767.3862,11.6104
Gravel Surface 1,0,1137.6710,768.1575,11.5443
Gravel Surface 1,0,1135.2917,766.7523,11.6646
Gravel Surface 1,0,1130.6959,753.8688,11.9304
Gravel Surface 1,0,1131.8616,763.1343,11.6874
Gravel Surface 1,0,1130.5985,758.9354,11.7798
Gravel Surface 1,0,1130.4633,757.2722,11.8252
Gravel Surface 1,0,1131.0390,760.9514,11.7314
Gravel Surface 1,0,1133.7293,765.4284,11.6655
Gravel Surface 1,0,1132.8494,764.4390,11.6732
Gravel Surface 1,0,1135.0435,766.6057,11.6629
Gravel Surface 1,0,1140.6480,769.0353,11.5965
Gravel Surface 1,0,1143.7898,769.1621,11.4703
Gravel Surface 1,0,1145.7549,768.8142,11.3844
Gravel Surface 1,0,1147.7273,768.0953,11.3158
Gravel Surface 1,0,1151.2811,765.4936,11.2721
Gravel Surface 1,0,1154.4990,761.4781,11.6623
Gravel Surface 1,0,1157.1740,758.1139,11.7009
Gravel Surface 1,0,1156.3432,759.1768,11.6863
Gravel Surface 1,0,1157.8378,757.2646,11.7019
Gravel Surface 1,0,1150.4141,744.0550,14.7566
Gravel Surface 1,0,1160.4876,753.8746,11.7482
Gravel Surface 1,0,1161.2427,752.9085,11.7614
Gravel Surface 1,0,1163.1488,750.5001,11.7905
Gravel Surface 1,0,1164.0202,749.3990,11.7901
Gravel Surface 1,0,1154.8428,738.4662,14.7535
Gravel Surface 1,0,1156.6248,736.2174,14.7522
Gravel Surface 1,0,1166.6866,746.0298,11.8308
Gravel Surface 1,0,1166.9294,745.7231,11.8345
Gravel Surface 1,0,1169.3519,742.6523,11.8728
Gravel Surface 1,0,1157.1148,735.5990,14.7519
Gravel Surface 1,0,1170.2152,741.5559,11.8731
Gravel Surface 1,0,1162.8354,728.3798,14.7478
Gravel Surface 1,0,1172.8763,738.1761,11.9161
Gravel Surface 1,0,1175.0818,735.3749,11.9517
Gravel Surface 1,0,1175.5437,734.7987,11.9578
Gravel Surface 1,0,1176.4118,733.7159,11.9556
Gravel Surface 1,0,1167.0782,723.0257,14.7448
Gravel Surface 1,0,1169.0461,720.5423,14.7434
Gravel Surface 1,0,1179.1033,730.3586,11.9913
Gravel Surface 1,0,1181.8238,726.9651,12.0271
Gravel Surface 1,0,1182.6382,725.9291,12.0275
Gravel Surface 1,0,1175.2568,712.7046,14.7390
Gravel Surface 1,0,1185.3135,722.5248,12.0716
Gravel Surface 1,0,1187.9875,719.1220,12.1157
Gravel Surface 1,0,1179.4326,707.4350,14.7360
Gravel Surface 1,0,1188.8200,718.0626,12.1161
Gravel Surface 1,0,1181.4674,704.8671,14.7346
Gravel Surface 1,0,1191.4931,714.6611,12.1601
Gravel Surface 1,0,1193.0782,712.6440,12.1863
Gravel Surface 1,0,1194.1853,711.2713,12.2001
Gravel Surface 1,0,1195.0225,710.2333,12.1974
Gravel Surface 1,0,1187.6781,697.0295,14.7302
Gravel Surface 1,0,1197.7403,706.8636,12.2317
Gravel Surface 1,0,1198.0034,706.5374,12.2350
Gravel Surface 1,0,1200.4243,703.4415,12.2767
Gravel Surface 1,0,1201.2246,702.4031,12.2792
Gravel Surface 1,0,1193.8888,689.1919,14.7258
Gravel Surface 1,0,1203.8786,698.9595,12.3304
Gravel Surface 1,0,1204.5712,698.0609,12.3438
Gravel Surface 1,0,1205.2961,697.1556,12.3538
Gravel Surface 1,0,1206.5699,695.5647,12.3706
Gravel Surface 1,0,1207.4401,682.9876,14.5600
Gravel Surface 1,0,1208.2720,693.4391,12.5930
Gravel Surface 1,0,1209.8886,691.4201,12.6094
Gravel Surface 1,0,1210.6657,690.4326,12.6202
Gravel Surface 1,0,1213.0615,687.3881,12.6476
Gravel Surface 1,0,1207.4816,682.9351,14.5597
Gravel Surface 1,0,1215.4572,684.3438,12.6692
Gravel Surface 1,0,1216.8608,682.5601,12.6590
Gravel Surface 1,0,1213.6808,675.0885,14.5097
Gravel Surface 1,0,1217.1800,682.1545,12.6611
Gravel Surface 1,0,1219.2677,679.5374,12.6690
Gravel Surface 1,0,1221.6936,676.4966,12.6724
Gravel Surface 1,0,1223.0745,674.7655,12.6587
Gravel Surface 1,0,1219.8801,667.2420,14.4598
Gravel Surface 1,0,1225.0527,672.2858,12.6568
Gravel Surface 1,0,1225.4978,671.7154,12.6583
Gravel Surface 1,0,1227.8947,668.6432,12.6607
Gravel Surface 1,0,1229.2569,666.8973,12.6530
Gravel Surface 1,0,1226.0794,659.3953,14.4098
Gravel Surface 1,0,1231.6494,663.8310,12.6495
Gravel Surface 1,0,1234.0310,660.7785,12.6401
Gravel Surface 1,0,1235.2888,659.1664,12.6328
Gravel Surface 1,0,1235.6877,658.6551,12.6305
Gravel Surface 1,0,1236.6997,657.3959,12.6191
Gravel Surface 1,0,1232.2786,651.5487,14.3599
Gravel Surface 1,0,1237.8397,655.9774,12.6055
Gravel Surface 1,0,1240.2853,652.9344,12.5761
Gravel Surface 1,0,1240.5415,652.6156,12.5732
Gravel Surface 1,0,1241.6451,651.2164,12.5647
Gravel Surface 1,0,1238.4779,643.7022,14.3099
Gravel Surface 1,0,1244.0635,648.1503,12.5441
Gravel Surface 1,0,1246.4846,645.0806,12.5234
Gravel Surface 1,0,1246.9673,644.4687,12.5197
Gravel Surface 1,0,1247.8274,643.3480,12.5176
